experiment,hour,date,device_make,platform_os,aware
control,4,2020-07-05,Generic Smartphone,6,True
exposed,8,2020-07-09,Generic Smartphone,6,True
exposed,14,2020-07-04,Samsung SM-G960F,6,True
exposed,8,2020-07-04,Nokia$2$3,6,True
exposed,16,2020-07-08,Generic Smartphone,6,False
control,15,2020-07-03,Generic Smartphone,6,False
exposed,0,2020-07-10,Generic Smartphone,6,True
exposed,8,2020-07-03,iPhone,5,False
control,15,2020-07-03,Generic Smartphone,6,False
control,4,2020-07-05,Samsung SM-G960F,6,False
control,15,2020-07-04,Samsung SM-G930F,6,False
exposed,1,2020-07-06,Samsung SM-A505FN,6,True
control,3,2020-07-04,Samsung SM-J530F,6,True
exposed,6,2020-07-03,Nokia$2$3,6,True
control,15,2020-07-03,Samsung SM-G975F,6,True
exposed,16,2020-07-04,Generic Smartphone,6,True
control,15,2020-07-03,VOG-L09,6,False
control,15,2020-07-03,Generic Smartphone,6,True
control,15,2020-07-10,Generic Smartphone,6,True
exposed,13,2020-07-05,Samsung SM-G965F,6,True
exposed,7,2020-07-03,LYA-L09,6,False
control,16,2020-07-10,Generic Smartphone,6,True
exposed,9,2020-07-09,Generic Smartphone,6,False
exposed,13,2020-07-09,Nokia$2$3,6,True
control,15,2020-07-03,Generic Smartphone,6,False
exposed,5,2020-07-09,Generic Smartphone,6,True
exposed,7,2020-07-05,Generic Smartphone,6,False
exposed,2,2020-07-04,Generic Smartphone,6,False
exposed,6,2020-07-04,Generic Smartphone,6,True
control,15,2020-07-03,Samsung SM-G930F,6,True
exposed,22,2020-07-09,Generic Smartphone,6,True
exposed,2,2020-07-03,Nokia undefined$2$3,6,False
exposed,18,2020-07-08,Samsung SM-G950F,6,False
control,15,2020-07-03,Generic Smartphone,6,True
control,15,2020-07-03,Generic Smartphone,6,True
exposed,4,2020-07-05,MAR-LX1A,6,False
control,7,2020-07-10,Samsung SM-G950F,6,False
control,20,2020-07-07,Generic Smartphone,6,True
exposed,18,2020-07-08,Samsung SM-G920F,6,True
control,15,2020-07-09,Samsung SM-A320FL,6,False
exposed,2,2020-07-10,Nokia$2$3,6,False
control,15,2020-07-03,CLT-L09,6,False
exposed,9,2020-07-10,Generic Smartphone,6,False
control,6,2020-07-09,Generic Smartphone,6,True
control,22,2020-07-09,Generic Smartphone,6,True
control,15,2020-07-03,Samsung SM-J415FN,6,False
exposed,11,2020-07-10,Samsung $2,6,True
control,9,2020-07-10,Samsung SM-G950F,6,False
exposed,20,2020-07-08,Generic Smartphone,6,True
control,5,2020-07-05,Generic Smartphone,6,False
control,18,2020-07-09,Generic Smartphone,6,False
control,15,2020-07-03,Samsung SM-G970F,6,False
exposed,16,2020-07-05,Generic Smartphone,6,False
exposed,6,2020-07-09,Generic Smartphone,6,False
control,9,2020-07-10,Generic Smartphone,6,True
control,8,2020-07-06,Generic Smartphone,6,True
control,15,2020-07-03,Generic Smartphone,6,False
exposed,7,2020-07-09,Samsung SM-G986B,6,True
exposed,3,2020-07-09,Generic Smartphone,6,True
control,15,2020-07-03,Samsung SM-G935F,6,True
exposed,10,2020-07-03,Generic Smartphone,6,True
exposed,14,2020-07-04,Generic Smartphone,6,True
control,15,2020-07-03,Samsung SM-G973F,6,False
exposed,15,2020-07-08,VOG-L29,6,False
control,15,2020-07-03,Samsung SM-A705FN,6,False
exposed,8,2020-07-06,Generic Smartphone,6,True
exposed,17,2020-07-08,LG-$2,6,True
exposed,1,2020-07-10,Generic Smartphone,6,False
control,15,2020-07-03,Samsung SM-A705FN,6,True
control,15,2020-07-03,Pixel 3,6,True
exposed,8,2020-07-05,Samsung SM-J730F,6,True
control,3,2020-07-04,Generic Smartphone,6,False
control,19,2020-07-08,Generic Smartphone,6,False
exposed,15,2020-07-08,Generic Smartphone,6,True
exposed,11,2020-07-07,Generic Smartphone,6,False
exposed,9,2020-07-09,Generic Smartphone,6,True
exposed,14,2020-07-09,Generic Smartphone,6,True
control,9,2020-07-04,Generic Smartphone,6,False
control,6,2020-07-04,Generic Smartphone,6,False
control,2,2020-07-04,Generic Smartphone,6,True
control,3,2020-07-10,Generic Smartphone,6,False
exposed,13,2020-07-09,Generic Smartphone,6,False
exposed,12,2020-07-05,Generic Smartphone,6,False
exposed,19,2020-07-08,Samsung SM-G960F,6,True
control,6,2020-07-07,Generic Smartphone,6,False
control,15,2020-07-03,Generic Smartphone,6,True
exposed,20,2020-07-07,Samsung SM-N960F,6,False
control,6,2020-07-10,Generic Smartphone,6,True
exposed,15,2020-07-05,Samsung SM-G950F,6,True
exposed,19,2020-07-04,Generic Smartphone,6,True
exposed,9,2020-07-03,Generic Smartphone,6,True
exposed,11,2020-07-09,Generic Smartphone,6,False
control,2,2020-07-06,Generic Smartphone,6,False
exposed,1,2020-07-10,HTC U12+,6,False
control,8,2020-07-05,Samsung SM-G770F,6,False
exposed,3,2020-07-06,Generic Smartphone,6,False
control,3,2020-07-07,Samsung SM-J330G,6,False
control,18,2020-07-08,Generic Smartphone,6,False
exposed,16,2020-07-08,Samsung SM-A105FN,6,False
control,18,2020-07-08,Generic Smartphone,6,False
exposed,15,2020-07-08,Generic Smartphone,6,False
control,15,2020-07-03,Samsung SM-A715F,6,True
control,0,2020-07-10,Nokia undefined$2$3,6,True
exposed,4,2020-07-09,Samsung SM-G975F,6,False
exposed,0,2020-07-03,Generic Smartphone,6,False
control,5,2020-07-05,Generic Smartphone,6,False
exposed,6,2020-07-10,ELE-L09,6,True
exposed,1,2020-07-06,Generic Smartphone,6,False
exposed,7,2020-07-03,Generic Smartphone,6,False
control,14,2020-07-04,Generic Smartphone,6,False
exposed,3,2020-07-06,Samsung SM-G970F,6,True
exposed,7,2020-07-03,Generic Smartphone,6,False
exposed,1,2020-07-03,Samsung SM-J330FN,6,False
exposed,10,2020-07-09,Generic Smartphone,6,True
exposed,7,2020-07-04,Generic Smartphone,6,False
control,10,2020-07-09,I3312,6,False
control,15,2020-07-03,POT-LX1,6,True
control,8,2020-07-09,Generic Smartphone,6,False
control,10,2020-07-10,G3311,6,False
exposed,10,2020-07-03,Samsung SM-G973F,6,False
control,10,2020-07-05,Generic Smartphone,6,True
exposed,8,2020-07-10,Samsung SM-G975F,6,True
control,15,2020-07-03,Generic Smartphone,6,True
control,15,2020-07-03,Samsung SM-G950F,6,True
control,18,2020-07-05,Samsung SM-J320FN,6,False
control,20,2020-07-04,Samsung SM-G970F,6,True
exposed,17,2020-07-05,Generic Smartphone,6,False
exposed,14,2020-07-04,Generic Smartphone,6,True
control,10,2020-07-07,Generic Smartphone,6,False
exposed,8,2020-07-09,Generic Smartphone,6,False
exposed,6,2020-07-09,Samsung SM-G960F,6,True
control,7,2020-07-08,Generic Smartphone,6,False
exposed,21,2020-07-09,YAL-L21,6,True
exposed,13,2020-07-08,Generic Smartphone,6,True
control,8,2020-07-04,Generic Smartphone,6,True
exposed,5,2020-07-09,Generic Smartphone,6,False
exposed,19,2020-07-08,Generic Smartphone,6,False
control,14,2020-07-09,Generic Smartphone,6,False
control,5,2020-07-05,Generic Smartphone,6,False
exposed,6,2020-07-09,Generic Smartphone,6,True
exposed,13,2020-07-04,Samsung SM-G950F,6,False
control,11,2020-07-09,Generic Smartphone,6,True
control,15,2020-07-03,Generic Smartphone,6,True
exposed,18,2020-07-09,Samsung SM-G960F,6,True
exposed,10,2020-07-04,Generic Smartphone,6,True
exposed,20,2020-07-08,Samsung SM-J510FN,6,False
exposed,10,2020-07-05,Generic Smartphone,6,False
control,8,2020-07-04,XiaoMi Redmi 6A,6,False
exposed,18,2020-07-08,Generic Smartphone,6,False
exposed,9,2020-07-03,Generic Smartphone,6,False
exposed,9,2020-07-06,Generic Smartphone,6,False
exposed,3,2020-07-10,Generic Smartphone,6,False
control,12,2020-07-10,ANE-LX1,6,True
control,8,2020-07-07,Samsung SM-G955F,6,True
exposed,15,2020-07-08,SNE-LX1,6,False
control,19,2020-07-09,Samsung SM-N976B,6,False
control,6,2020-07-10,Samsung SM-G973F,6,True
exposed,2,2020-07-04,Generic Smartphone,6,False
exposed,7,2020-07-06,Samsung SM-G960F,6,False
control,10,2020-07-07,Generic Smartphone,6,True
exposed,16,2020-07-04,Samsung SM-G935F,6,False
control,21,2020-07-08,LG-$2,6,True
control,15,2020-07-03,Generic Smartphone,6,False
control,12,2020-07-09,Samsung SM-A105FN,6,False
exposed,12,2020-07-05,Generic Smartphone,6,False
control,2,2020-07-10,Generic Smartphone,6,True
control,15,2020-07-03,Generic Smartphone,6,False
exposed,10,2020-07-03,Samsung SM-J600FN,6,True
control,15,2020-07-03,Generic Smartphone,6,False
control,15,2020-07-03,Generic Smartphone,6,True
control,15,2020-07-03,Generic Smartphone,6,False
control,2,2020-07-08,Generic Smartphone,6,False
exposed,2,2020-07-07,Generic Smartphone,6,False
exposed,8,2020-07-09,Generic Smartphone,6,False
exposed,17,2020-07-07,Samsung SM-G980F,6,False
control,15,2020-07-03,ANE-LX1,6,True
exposed,8,2020-07-04,Generic Smartphone,6,False
exposed,16,2020-07-08,Generic Smartphone,6,False
control,4,2020-07-10,Generic Smartphone,6,True
control,4,2020-07-09,Nokia undefined$2$3,6,False
exposed,10,2020-07-09,Samsung SM-G935F,6,False
control,15,2020-07-03,Samsung SM-G988B,6,True
exposed,7,2020-07-05,LG-$2,6,False
control,21,2020-07-08,Samsung SM-A405FN,6,True
control,15,2020-07-03,Samsung SM-A405FN,6,True
exposed,15,2020-07-09,Generic Smartphone,6,False
exposed,10,2020-07-03,Samsung SM-G975F,6,False
control,15,2020-07-03,Generic Smartphone,6,True
exposed,0,2020-07-05,Generic Smartphone,6,True
control,0,2020-07-09,Generic Smartphone,6,False
exposed,0,2020-07-09,Generic Smartphone,6,False
exposed,11,2020-07-10,Generic Smartphone,6,False
exposed,16,2020-07-08,Generic Smartphone,6,True
control,5,2020-07-10,Samsung SM-A202F,6,False
exposed,4,2020-07-04,Generic Smartphone,6,False
exposed,8,2020-07-05,Generic Smartphone,6,False
control,15,2020-07-03,Samsung SM-A520F,6,False
exposed,15,2020-07-08,Generic Smartphone,6,False
exposed,3,2020-07-10,Generic Smartphone,6,False
exposed,12,2020-07-05,Huawei Browser,6,True
control,8,2020-07-10,Samsung SM-A705FN,6,True
control,1,2020-07-05,Samsung $2,6,False
control,15,2020-07-10,Generic Smartphone,6,False
exposed,7,2020-07-03,Generic Smartphone,6,True
exposed,8,2020-07-09,MRD-LX1,6,False
control,7,2020-07-09,Samsung SM-J320FN,6,False
exposed,18,2020-07-08,Samsung SM-G965U1,6,False
exposed,8,2020-07-03,Generic Smartphone,6,False
exposed,6,2020-07-03,Samsung SM-A705FN,6,True
control,22,2020-07-08,Generic Smartphone,6,True
control,17,2020-07-07,Generic Smartphone,6,True
exposed,1,2020-07-03,Generic Smartphone,6,True
exposed,3,2020-07-04,Generic Smartphone,6,False
control,15,2020-07-03,Samsung SM-G960F,6,False
exposed,14,2020-07-09,Nokia$2$3,6,False
exposed,11,2020-07-09,Generic Smartphone,6,False
exposed,17,2020-07-08,Generic Smartphone,6,True
exposed,10,2020-07-04,Samsung SM-G900F,6,False
control,16,2020-07-10,Samsung SM-A320FL,6,True
control,15,2020-07-03,iPhone,5,False
control,15,2020-07-03,iPhone,5,False
exposed,3,2020-07-06,Generic Smartphone,6,False
control,8,2020-07-08,Samsung SM-G973F,6,True
control,19,2020-07-04,Generic Smartphone,6,False
control,15,2020-07-03,Generic Smartphone,6,False
exposed,16,2020-07-09,Generic Smartphone,6,False
exposed,19,2020-07-07,Samsung SM-G960F,6,True
exposed,7,2020-07-03,Generic Smartphone,6,False
exposed,16,2020-07-09,Samsung SM-G980F,6,True
exposed,16,2020-07-09,Generic Smartphone,6,False
control,15,2020-07-03,Generic Smartphone,6,False
control,15,2020-07-03,Generic Smartphone,6,True
exposed,9,2020-07-05,Nokia$2$3,6,True
exposed,0,2020-07-07,Moto $2,6,False
exposed,6,2020-07-06,Generic Smartphone,6,True
control,15,2020-07-03,Generic Smartphone,6,False
exposed,10,2020-07-06,Generic Smartphone,6,True
exposed,6,2020-07-06,Generic Smartphone,6,True
exposed,5,2020-07-03,Generic Smartphone,6,True
control,15,2020-07-03,Generic Smartphone,6,False
control,15,2020-07-03,Generic Smartphone,6,False
control,15,2020-07-03,Samsung SM-G970F,6,True
exposed,13,2020-07-05,Generic Smartphone,6,True
control,3,2020-07-07,Generic Smartphone,6,False
control,13,2020-07-04,Generic Smartphone,6,False
exposed,9,2020-07-03,Generic Smartphone,6,False
control,0,2020-07-06,VTR-L09,6,False
exposed,11,2020-07-05,Generic Smartphone,6,True
exposed,12,2020-07-09,Generic Smartphone,6,False
control,14,2020-07-08,Generic Smartphone,6,False
exposed,23,2020-07-04,Generic Smartphone,6,True
control,1,2020-07-09,Generic Smartphone,6,True
control,15,2020-07-03,Samsung SM-A320FL,6,True
control,15,2020-07-03,Generic Smartphone,6,True
exposed,14,2020-07-03,Generic Smartphone,6,False
control,10,2020-07-09,Samsung SM-G973F,6,False
exposed,8,2020-07-05,Samsung SM-G960F,6,False
exposed,18,2020-07-07,Generic Smartphone,6,False
exposed,14,2020-07-08,Generic Smartphone,6,True
control,15,2020-07-03,Generic Smartphone,6,False
control,11,2020-07-05,Generic Smartphone,6,True
control,15,2020-07-03,Generic Smartphone,6,True
exposed,7,2020-07-09,Generic Smartphone,6,True
exposed,21,2020-07-08,LG-$2,6,True
exposed,15,2020-07-05,Samsung SM-A105FN,6,False
exposed,17,2020-07-09,Generic Smartphone,6,False
control,14,2020-07-10,Generic Smartphone,6,False
exposed,7,2020-07-08,Samsung SM-N960F,6,False
exposed,15,2020-07-08,Generic Smartphone,6,True
control,19,2020-07-08,Generic Smartphone,6,False
control,15,2020-07-03,Generic Smartphone,6,True
exposed,15,2020-07-08,Generic Smartphone,6,False
exposed,9,2020-07-07,Generic Smartphone,6,True
exposed,22,2020-07-07,Generic Smartphone,6,True
exposed,3,2020-07-07,Samsung SM-G973F,6,False
control,15,2020-07-03,Samsung SM-G973F,6,True
control,9,2020-07-09,Generic Smartphone,6,False
control,16,2020-07-08,Samsung SM-A405FN,6,True
control,3,2020-07-04,Generic Smartphone,6,False
exposed,18,2020-07-08,Generic Smartphone,6,False
exposed,11,2020-07-03,Generic Smartphone,6,False
exposed,22,2020-07-08,Samsung SM-G960F,6,False
control,15,2020-07-03,Generic Smartphone,6,True
exposed,10,2020-07-03,Generic Smartphone,6,True
exposed,4,2020-07-10,Samsung SM-G930F,6,True
exposed,8,2020-07-05,Samsung SM-G960F,6,False
exposed,16,2020-07-04,Generic Smartphone,6,False
control,15,2020-07-03,Samsung SM-G930F,6,True
exposed,8,2020-07-03,Generic Smartphone,6,True
exposed,11,2020-07-05,Samsung SM-A320FL,6,False
exposed,6,2020-07-04,Generic Smartphone,6,True
exposed,15,2020-07-08,Generic Smartphone,6,False
exposed,6,2020-07-05,Generic Smartphone,6,False
exposed,14,2020-07-04,CLT-L09,6,False
exposed,10,2020-07-04,Generic Smartphone,6,True
exposed,9,2020-07-06,Generic Smartphone,6,False
exposed,9,2020-07-04,Generic Smartphone,6,True
exposed,17,2020-07-04,Generic Smartphone,6,False
control,12,2020-07-04,Generic Smartphone,6,False
exposed,12,2020-07-10,Samsung $2,6,False
exposed,16,2020-07-10,Generic Smartphone,6,False
exposed,14,2020-07-07,Generic Smartphone,6,False
control,11,2020-07-04,Samsung SM-G950F,6,True
exposed,12,2020-07-09,Generic Smartphone,6,True
control,13,2020-07-09,Samsung SM-G960F,6,False
control,8,2020-07-07,Generic Smartphone,6,True
exposed,19,2020-07-04,Generic Smartphone,6,False
control,15,2020-07-03,Generic Smartphone,6,False
exposed,20,2020-07-09,Samsung SM-A705FN,6,False
control,14,2020-07-08,Samsung SM-A520F,6,False
control,10,2020-07-09,Samsung SM-G960F,6,True
exposed,11,2020-07-09,Generic Smartphone,6,False
control,15,2020-07-03,Generic Smartphone,6,True
exposed,8,2020-07-03,Generic Smartphone,6,True
exposed,12,2020-07-03,Generic Smartphone,6,False
control,3,2020-07-04,iPhone,5,True
control,15,2020-07-03,Samsung $2,6,True
control,14,2020-07-08,Samsung SM-G960F,6,False
exposed,10,2020-07-05,Samsung SM-G973F,6,True
control,15,2020-07-03,Generic Smartphone,6,False
control,14,2020-07-04,Samsung SM-A600FN,6,True
exposed,0,2020-07-05,Generic Smartphone,6,False
control,12,2020-07-09,Generic Smartphone,6,True
exposed,10,2020-07-03,Generic Smartphone,6,False
exposed,11,2020-07-03,Generic Smartphone,6,False
control,15,2020-07-03,Generic Smartphone,6,True
control,15,2020-07-03,MRD-LX1,6,True
control,15,2020-07-03,Generic Smartphone,6,False
exposed,8,2020-07-03,Generic Smartphone,6,False
control,5,2020-07-06,Generic Smartphone,6,False
control,15,2020-07-03,Generic Smartphone,6,False
exposed,4,2020-07-09,Samsung SM-A202F,6,False
control,15,2020-07-03,Generic Smartphone,6,False
exposed,9,2020-07-05,Samsung SM-J530F,6,True
exposed,4,2020-07-04,Generic Smartphone,6,False
exposed,18,2020-07-08,Generic Smartphone,6,True
control,7,2020-07-04,Samsung SM-G970F,6,False
control,4,2020-07-10,Generic Smartphone,6,False
exposed,10,2020-07-06,Samsung SM-N950F,6,True
control,15,2020-07-03,MAR-LX1A,6,False
exposed,20,2020-07-08,VFD 700,6,True
exposed,15,2020-07-10,Generic Smartphone,6,False
exposed,8,2020-07-03,Generic Smartphone,6,False
control,8,2020-07-04,Samsung SM-G960F,6,True
control,15,2020-07-03,Samsung SM-A310F,6,True
control,15,2020-07-04,Samsung SM-G973F,6,True
control,15,2020-07-03,Samsung SM-G973F,6,True
control,15,2020-07-03,Generic Smartphone,6,False
exposed,10,2020-07-03,Samsung SM-A405FN,6,False
exposed,4,2020-07-06,Generic Smartphone,6,True
exposed,5,2020-07-05,Samsung SM-G950F,6,True
exposed,11,2020-07-04,Nokia undefined$2$3,6,True
control,21,2020-07-04,Generic Smartphone,6,True
exposed,9,2020-07-03,Samsung SM-N920I,6,False
exposed,5,2020-07-08,Generic Smartphone,6,True
control,15,2020-07-03,Generic Smartphone,6,True
control,18,2020-07-05,Samsung SM-G960F,6,True
control,11,2020-07-04,Generic Smartphone,6,True
control,9,2020-07-07,Generic Smartphone,6,True
control,18,2020-07-08,Samsung SM-G977B,6,False
control,15,2020-07-03,Generic Smartphone,6,True
control,4,2020-07-10,Generic Smartphone,6,True
exposed,11,2020-07-05,Generic Smartphone,6,False
control,18,2020-07-09,Samsung SM-G970F,6,True
exposed,10,2020-07-05,Generic Smartphone,6,False
control,6,2020-07-04,Generic Smartphone,6,False
control,4,2020-07-05,Samsung SM-G975F,6,True
control,15,2020-07-03,Samsung SM-G930F,6,True
control,15,2020-07-03,Generic Smartphone,6,True
exposed,8,2020-07-08,Generic Smartphone,6,False
exposed,4,2020-07-06,Generic Smartphone,6,True
control,15,2020-07-03,Generic Smartphone,6,False
control,0,2020-07-04,XiaoMi MI 8 Pro,6,True
control,5,2020-07-04,Nokia$2$3,6,False
control,2,2020-07-04,Generic Smartphone,6,False
control,15,2020-07-03,Generic Smartphone,6,False
control,16,2020-07-09,Samsung SM-N970F,6,False
control,15,2020-07-03,Generic Smartphone,6,False
control,6,2020-07-06,Samsung SM-G981B,6,True
exposed,11,2020-07-03,Generic Smartphone,6,False
control,20,2020-07-08,Generic Smartphone,6,False
exposed,6,2020-07-04,ELE-L09,6,True
control,20,2020-07-08,ELE-L09,6,False
control,17,2020-07-10,ELE-L29,6,True
control,5,2020-07-07,Generic Smartphone,6,False
control,13,2020-07-08,Samsung SM-G975F,6,False
control,15,2020-07-03,Samsung SM-G930F,6,False
exposed,7,2020-07-06,Generic Smartphone,6,False
exposed,4,2020-07-10,Generic Smartphone,6,True
exposed,13,2020-07-03,Generic Smartphone,6,True
exposed,15,2020-07-04,Generic Smartphone,6,False
exposed,17,2020-07-09,Samsung SM-A507FN,6,True
control,15,2020-07-03,Generic Smartphone,6,True
exposed,15,2020-07-04,Generic Smartphone,6,False
exposed,7,2020-07-09,Generic Smartphone,6,True
